,dataset,algorithm,n_clusters,init,n_init,max_iter,silhouette_score,adjusted_rand_score,f1_score,execution_time,linkage,metric
98,iris,AgglomerativeClustering,5,,,,0.15814155051220588,0.551796444741071,0.34941883513312083,0.01600503921508789,single,euclidean
99,iris,AgglomerativeClustering,5,,,,0.15814155051220588,0.551796444741071,0.34941883513312083,0.015000581741333008,single,manhattan
100,iris,AgglomerativeClustering,5,,,,0.36728038518275785,0.6842486635768289,0.5213016568438256,0.015996932983398438,average,euclidean
101,iris,AgglomerativeClustering,5,,,,0.36691915223281163,0.6456604004718953,0.500111159441303,0.020992755889892578,average,manhattan
102,iris,AgglomerativeClustering,5,,,,0.3345120960717713,0.5041716687577664,0.4528878624806641,0.021004915237426758,complete,euclidean
103,iris,AgglomerativeClustering,5,,,,0.3580331085666874,0.44483876677848727,0.42539847539847536,0.020998239517211914,complete,manhattan
104,iris,AgglomerativeClustering,6,,,,0.09563890332351216,0.5498939490241168,0.2919589289452303,0.019001007080078125,single,euclidean
105,iris,AgglomerativeClustering,6,,,,0.09563890332351216,0.5498939490241168,0.2919589289452303,0.018995285034179688,single,manhattan
106,iris,AgglomerativeClustering,6,,,,0.3229363153274025,0.6638049639535524,0.42688792688792687,0.016999006271362305,average,euclidean
107,iris,AgglomerativeClustering,6,,,,0.3559539919883123,0.5929846210890088,0.39157236525657574,0.017996549606323242,average,manhattan
108,iris,AgglomerativeClustering,6,,,,0.33328023659007017,0.4415520259458531,0.3469107921194053,0.01699066162109375,complete,euclidean
109,iris,AgglomerativeClustering,6,,,,0.32483839277024357,0.497842495202543,0.36488260735248684,0.015993595123291016,complete,manhattan
110,wine,AgglomerativeClustering,2,,,,-0.22771045665989437,-0.001963001963001963,0.18817204301075272,0.018015623092651367,single,euclidean
111,wine,AgglomerativeClustering,2,,,,-0.22771045665989437,-0.001963001963001963,0.18817204301075272,0.017015933990478516,single,manhattan
112,wine,AgglomerativeClustering,2,,,,-0.22771045665989437,-0.001963001963001963,0.18817204301075272,0.017002582550048828,average,euclidean
113,wine,AgglomerativeClustering,2,,,,-0.22771045665989437,-0.001963001963001963,0.18817204301075272,0.020998001098632812,average,manhattan
114,wine,AgglomerativeClustering,2,,,,0.5635523841748998,0.5499067956270987,0.5674931129476585,0.01699972152709961,complete,euclidean
115,wine,AgglomerativeClustering,2,,,,0.5635523841748998,0.5499067956270987,0.5674931129476585,0.022991180419921875,complete,manhattan
116,wine,AgglomerativeClustering,3,,,,-0.5556451685862803,-0.00381934509398756,0.1862348178137652,0.017984867095947266,single,euclidean
